perumnas bsr,tomang
mt haryano,cawang
b. pustaka tmr,kayu putih
jl. merdeka timur,gambir
tb simpatupang,pasar minggu
semanggi i,karet semanggi
trunoj,pulo
h nawi raya,gandaria selatan
bendungan jago,utan panjang
jl . kyai tapa,grogol
abdul madjid,cipete utara
jl. mundu,jati
kebon nanas,cipinang cempedak
simpruk,grogol selatan
jl. dr supomo,menteng dalam
juraganan,grogol utara
raya fatmawati,cilandak barat
re. matadinata,tanjung priok
perintis kemerdekaan,pulo gadung
tvri,palmerah
h batong raya,cilandak barat
kh. m. mansyur,duri utara
jl. jamblang,duri utara
tipar-semper,semper barat
jl . merdeka selatan,gambir
jl. nilam v,jati
mall kelapa gading p1,kelapa gading barat
jl. merdeka,gambir
jl. a yani,jati
jl hasanudin,pulo
muwardi raya,jelambar
sahardjo,manggarai selatan
topaz tengah,kayu putih
gandaria i,gandaria selatan
pangkalan asem,cempaka putih barat
jl . kwini,senen
jl. h. lekir,grogol selatan
marga guna,gandaria selatan
komp. al d sawit,kelapa gading barat
jl merdeka timur,gambir
rajawali s,gunung sahari utara
jl. cipeucang,rawa badak utara
ks. tubun,petamburan
jl. ketapang,krukut
jl. kopi,roa malaka
jl . pos,sukabumi selatan
trunojoyo,pulo
jl . sutoyo,cawang
jl. salemba -,paseban
majapahit,petojo utara
bekasi timur raya,cipinang besar utara
cengkeh,pinangsia
asia afrika,gelora
bunga rampai,malaka jaya
d. i. panjaitan,cipinang besar utara
jl. swakarya,pondok kelapa
pekapuran,tanah sereal
jl kunir,pinangsia
merdeka selatan,gambir
jl. jampea,tanjung priok
cilandak marinir,cilandak timur
perum bojong,rawa buaya
jl . s parman,palmerah
jl. mh. thamrin,kebon sirih
jend sudirman,senayan
jl. mangga dua,ancol
merdaka timur,gambir
pisangan iii,pisangan timur
tanah mas,kayu putih
hanglekir,gunung
jl . diponogoro,kenari
iii - iv,jati
agung indah iii,sunter agung
pintu besar utara,pinangsia
hangtuah,gunung
gedung pemuda,gelora
masjid al hidayah,pejaten barat
jl. jagung raya,rawa buaya
jl. matraman,kebon manggis
jl. kyai,kramat pela
raya bogor tanah merdeka,rambutan
d. sunter utara,sunter agung
jl. raya bekasi tm -,jelambar
rw 06,kemayoran
terusan mampang,pela mampang
pelumpang raya,rawa badak utara
jl raya ciputat,kebayoran lama utara
rawamnagun,jati
pesing,jelambar
mh. thamrin,kebon sirih
jl. mujair,pasar minggu
bangunan timur,kayu putih
kepa duri,duri kepa
jl. diponegoro,kenari
jl. cik ditiro,gondangdia
wisma jaya,jati
cidodol,grogol selatan
raya pd indah,pondok pinang
kantor polisi,kapuk
masuk kebon nanas,grogol utara
letjend sutoyo,cawang
jl. muwardi --,jelambar
p. asem r,kebon kosong
tanjung duren timur,tanjung duren utara
jl. maja,cipinang besar utara
jl. pemuda,jati
pintu 2 tmii,lubang buaya
jl. dobo,tanjung priok
jl. minangkabau,pasar manggis
rawa bambu,pasar minggu
kemandoran i,grogol utara
jl.supomo,menteng dalam
sunter mas barat,sunter agung
jl. hasanudin,pulo
jl. bendi -,kebayoran lama utara
kota / bni 46,cilandak barat
dr wahidin,pasar baru
jl. a yani --,jati
jl. waru --,kapuk
mangga dua dalam,mangga dua selatan
jl. bekasi raya,cakung
pejompongan,bendungan hilir
tb. simatupang,pasar minggu
kp melayu kecil,bukit duri
ir. juanda,kebon kelapa
puri mall,kembangan selatan
h syaip,cilandak barat
jl . merdeka timur,gambir
p jayakarta,mangga dua selatan
balai pustaka barat,jati
veteran,gambir
jl. halimun,guntur
komplek kehakiman,jelambar
danau sunter,sunter agung
khm mansyur --,duri utara
merdeka barat,gambir
kampung bandan,pluit
jl. lodan,jati
jl. kalimati,pademangan barat
jembatan tinggi,cakung
gudang panjang,ciganjur
jl. kedondong,jagakarsa
komplek uka,tugu utara
jl. permai,kelapa gading barat
dr. satrio,karet kuningan
kebon binatang,cikini
latumenten,jelambar
sunter selatan,sunter agung
raya pondok gede,lubang buaya
jl. nurdin,grogol
jl. bugis,kebon bawang
jl. kebayoran lama,kebayoran lama utara
may jend sutoyo,cawang
taman kota,kembangan selatan
jl . pemuda,jati
angkasapura,kebon kosong
abdul rochim,kuningan barat
ahmad yani,cempaka putih timur
suryo pranoto-gajah mada,petojo selatan
jl. cempaka,harapan mulia
jl. mas mansyur,kebon kacang
darmawangsa,pulo
pos pengunben,sukabumi selatan
jl. fatmawati,cilandak barat
jl. keb lama,kebayoran lama utara
komplek kejaksaan,pasar minggu
jl. mustika,jati
jl . dewi sartika,cawang
sukabumi udik,sukabumi selatan
rawa mangun muka,jati
enim,kebon bawang
jl. bangunan,kayu putih
utama raya,cengkareng barat
jl. ridw,tomang
jl. sutomo,pasar baru
jl. angkasa,gunung sahari selatan
cileduk raya,ulujami
martadinata,ancol
kh ab,palmerah
dr. susilo,grogol
barito raya,kramat pela
jl radio dalam,gandaria utara
jl. melati,tugu utara
perumnas i-ii-iii,malaka jaya
ir juanda,kebon kelapa
jl. mabes hankam,sukabumi utara
halte bidara cina,bidaracina
jl . muara karang,pejagalan
laturharhari,menteng
taman surya boulevard,kelapa gading barat
raya pd gede,lubang buaya
jl. rs. fatmawati,cilandak barat
raya mampang p,tegal parang
jl. layur,jati
jl. batan,lebak bulus
jl. s m,pondok pinang
jl.,pulo
jl. tawes,jati
jl. bona indah,lebak bulus
daan mogot,jelambar
mas mansyur,kebon kacang
raya kby. lama,kebayoran lama utara
jl. proklamasi,pegangsaan
kembangan raya,kembangan selatan
patimura,selong
jl. pasar jumat,lebak bulus
jl. r said,kuningan timur
jl . raya pondok inda,pondok pinang
taman bandara,lebak bulus
jl. taman mini,lubang buaya
karya utama,gandaria utara
jl. pondasi,kayu putih
jl raya hankam,grogol selatan
raya raguan,ragunan
raya bukit gading,kelapa gading barat
jl dr sutomo,pasar baru
bandengan utara,pluit
- jl. bank,pela mampang
jl. s pa,slipi
h. agus salim,kebon sirih
boulevard barat,kelapa gading barat
b. pustaka barat,kayu putih
jl. bekasi timur i,cipinang besar utara
